14941019-2, 164w6eE1xo5z15rmVxSwmW8fPkieaPPDzCCkJvkV7fXbFCGB, 0x2348753cd66bde5b584d83f337013dc74135d5e99a2e179c1ec8a848f20b5065, 14941019, 99.0, 2000, 2023-04-04 17:31:00, xcmpallet, reserve_transfer_assets
14940776-2, 139JNaN3F1YepFRJV6CU69RWNt94REwqNKVj2vkW5Akk2Jh1, 0x4a54d10acefe121a26071a13b0d9b86b56b8619d742943baa2873fe375fd9012, 14940776, 139.5782, 2012, 2023-04-04 17:06:42, xcmpallet, reserve_transfer_assets
14940718-2, 1313bQjW2G5FZjvuDfKogM5g2rCGUx7jsH47erutfpP1zezV, 0xb40e2ed43c66aad30b0cdfe77ba52deeb35c20702233bf75af7c9197ec6f7240, 14940718, 3.86331, 2030, 2023-04-04 17:00:54, xcmpallet, reserve_transfer_assets
14940368-2, 12bHx9ozWnN3yFJptn978AkgheQm2xyCA76HowFj75HRGSEo, 0xa5ce39c13cd7846ebfc0db1a35618921182864b116f0995c6a724d58722f9ffe, 14940368, 1.00081, 2030, 2023-04-04 16:25:54, xcmpallet, reserve_transfer_assets
14940312-2, 14TVxgyMaWBLX7NqewnNBgonKcNfLzWwoEwSXTY4abvW7it8, 0x56ab8af19882e41358b72dc5a01432a2677207a44433651769eaaa0e71ae06d6, 14940312, 15.0, 2000, 2023-04-04 16:20:18, xcmpallet, reserve_transfer_assets
14940251-2, 12BovHUwf51VTqunppXu1c4mUwZQuLeA93A8wEt8S5wwMJmZ, 0x8d3cdd3b90330c15fe602fdc6e1a6f739f4cb558ca3e0c97949b2dd2e2b809c5, 14940251, 9.7, 2000, 2023-04-04 16:14:12, xcmpallet, reserve_transfer_assets
14940233-2, 12gcwgucykDBBrJFuGxaE7nCsYvkmiinRHgGeiXJFM5qV933, 0xdf7c192477366a106f23a5c23dd27b9a5bcb0c6d1e621e8c2db5dbfd9515fa04, 14940233, 1.00081, 2030, 2023-04-04 16:12:24, xcmpallet, reserve_transfer_assets
14940148-3, 14zcR6ELBxUYRar5LhFRhgqCejd86PQn5XzXU2oMrq8GGKtB, 0xfff82db95221d09c8fe14daf8ff34034d5283ec70c569c7299c01cda8154ab58, 14940148, 32.00871, 2030, 2023-04-04 16:03:54, xcmpallet, reserve_transfer_assets
14939594-2, 14ughUt5UgCPCqpj4YfMmFqCcfCpobUA7TDDc2c2pRigVf4, 0x30b71da3cdeed5020b7c223354c52710dbc94c26a7269caf870ae8d7f49d84c4, 14939594, 10.69358, 2012, 2023-04-04 15:08:30, xcmpallet, reserve_transfer_assets
14939576-2, 139JNaN3F1YepFRJV6CU69RWNt94REwqNKVj2vkW5Akk2Jh1, 0x6014c3de87494f7ce59bc98e4e8061112af92cfb159ab995ed1b89a689e596c3, 14939576, 131.0, 2006, 2023-04-04 15:06:42, xcmpallet, reserve_transfer_assets
14939304-2, 16MGVjq9b9b4pLwVCZkhZot45HYbvh18Adxjf9oL1yxjThxH, 0xe69416b8cf45c59e5cc1c1b1a8ce3dc47633aa2b624af3e7d96b7e566cc7504c, 14939304, 1.45081, 2030, 2023-04-04 14:39:30, xcmpallet, reserve_transfer_assets
14939191-2, 16MGVjq9b9b4pLwVCZkhZot45HYbvh18Adxjf9oL1yxjThxH, 0x04e8fc5683a4cce82d325603a5e2ac980c5b20a7dd40231d6860876184c1ffff, 14939191, 3.75081, 2030, 2023-04-04 14:28:12, xcmpallet, reserve_transfer_assets
14938860-2, 14Q77S3y3hPHXmtyFG5xeHcorWz6A7wsyS695kxYVBkfBb8t, 0x32d4e5905e86bc76b16610fd568ba328662c4c5e307b5eb071110d20d5b8cd6b, 14938860, 0.2, 2012, 2023-04-04 13:55:06, xcmpallet, reserve_transfer_assets
14938816-2, 14Q77S3y3hPHXmtyFG5xeHcorWz6A7wsyS695kxYVBkfBb8t, 0xcd0e6da71dfb77de0c025ec1236bef8929347dcdcb8fd2e4c524b62782509f4c, 14938816, 0.2, 2032, 2023-04-04 13:50:42, xcmpallet, reserve_transfer_assets
