14917678-2, 13aV6LhoiPJLS6NgPih9b2gVf3iLM5Q75C7sk337Kg1cS6zV, 0x74d31ab920eff22a97210fd1e217904f95a115aa8de4dcdc4afd065b2008941d, 14917678, 50000.0, 2023-04-03 02:36:42, staking, bond
14917669-3, 16JxzcCSaKXbWr4mVj4M96FUpHaxyXnwnr4nqWFgNPU3q29Y, 0x230960f305b2d0c178da17d59377a21019aad6e09d319acbd3f6ad6f5cd0b2c1, 14917669, 100000.0, 2023-04-03 02:35:48, staking, bond
14917479-4, 12YiXzDXGHG4sFppsDJEJT7LMsCUaXA5SaFpy4Yeg1ieKRcg, 0xa7e7b4a69b6b3bf1d41b445888bc1336654872927cde49efb4cb0cf72f647cd1, 14917479, 1000.0, 2023-04-03 02:16:48, staking, bond
14917435-2, 1AEo7neKvDXDumKAGvWq6mmCqE7jnDDN6wLirjSX7Nsu3xH, 0x894c37180009fa8d377eaa71957e5994ffa76af9d51e7eba9b87bb95bc8b5822, 14917435, 266.74011, 2023-04-03 02:12:24, staking, bond
14917395-2, 144ZidqtqnJ5YuFsNk98m6uy6bfod8SfWDgrPgE3U2KkZBfy, 0xc68ed7be744fa0689ead4d124a546d07ade4c612241190fa38391fea9f97dcd1, 14917395, 1000.0, 2023-04-03 02:08:24, staking, bond
14917344-3, 15DxvUsYYY64hUtv7EbjHzgU2mhtuCs9NrbkQ5uFCVSq9w9k, 0xf1528faa0dc06a98a16755127abfa087d1b4e1c263e4bd1367e95cd35493cfb1, 14917344, 255.0, 2023-04-03 02:03:18, staking, bond
14917343-3, 12DiiHDbsKWx5ww3sW8RtfjDUcdMYmSfqjSJoZfwxURRdEp9, 0xab891fb8ded0430b7a8c755dc8cda0a54b3ec96a1bc43ba1d05636ef59ea8778, 14917343, 1200.0, 2023-04-03 02:03:12, staking, bond
14917283-2, 15eA1kifwDrPiDChoJPv5rn8DtAnpkMWcYgGpnutBjtyGTio, 0x898c3935bd24efe387f6b4b523f0e192a948e5d62e7e19482907117e74865775, 14917283, 351.98937, 2023-04-03 01:57:12, staking, bond
14916997-2, 1zqDYhNTgEAFqtCxrsmRJoeS5jomC97GN4uUVK3nZXfQwk7, 0x16e79aa1a59830b54fc08b9151792a05e91cd986638e9f3fd2f8545b2668848d, 14916997, 550.0, 2023-04-03 01:28:36, staking, bond
14916914-3, 12cQ2g4TLY3dceFfsdJBnuzxJ457MYFSaWTui3mVhu6MQoKd, 0x5f390784c2b06107fb28ff3fd5aaa60ad7c1661d348b28e975d6a22d50fedfae, 14916914, 345.0, 2023-04-03 01:20:18, staking, bond
14916854-2, 16QNTHiG3kJkPb7J14njkF5fDKdbibvSBXU6BVTkLhPxJizF, 0x56b591920f4a24febd07aced3e5492b2007192919a465dc47ddff4036e1b197d, 14916854, 253.54656, 2023-04-03 01:14:18, staking, bond
14916609-3, 166CUomqzaAtgxwTuGDSVMFxPMMeKBtjZPHwna81nvre43Ja, 0xe7b35ffe157f2d96ff034a9eb6d32920d7012eec50a62e9d1914ace6329367bb, 14916609, 539.55058, 2023-04-03 00:49:48, staking, bond
14916588-3, 13VDQkqtTR8SQEzBuADQw32eGCRAmDvFTHR9UtPtr3YT5KzW, 0xd8c01320559ccbdffa4079cbcd8ebce77046b485d49d68e277540e7c7ff7e9ed, 14916588, 355.0, 2023-04-03 00:47:42, staking, bond
14916432-2, 16iWcvAotQm3pCD8WQY21tHpL4PbFPkPKTCd22v2FP92a5hn, 0xb331926379585a18c545c2c36e4fa7674d8363d6377878e16852d1a2c08eb22d, 14916432, 410.0, 2023-04-03 00:32:00, staking, bond
14915836-2, 13STEXfLgKWihodwNXZRsScceq6B4bGfnEPMJTKzAT6GJDcC, 0x8674d86571cdaee2d5a5eff93b1b97372ea4ce82363789b05b8816544157a68a, 14915836, 999.0, 2023-04-02 23:32:18, staking, bond
14915786-2, 16LEFyRhn77DQXwtSximfb1qdZvmvcGE4QcwhazqXUw9FgVn, 0xe78ec0561a0b54a1d8088e481bb1f4b1cdbb14992d4ed3939e94d32090a78d8b, 14915786, 968.79362, 2023-04-02 23:27:18, staking, bond
14915720-3, 1QKZPeM1XNABxoU3DPrrisQiGQQ3NM6wDdoDAQDDHv1V2QH, 0xbfa9695f1fc735b02cb0b4d530e4b53f82522923319ae53628f993252ea6d461, 14915720, 250.0, 2023-04-02 23:20:42, staking, bond
14915582-2, 14CHyDuTi7GowjxkDW37H7irkW196gr4xFxCzokKxQWzGUcD, 0xd1e6a40f47e1e776fbd0833dad53d4b35f8a8be49c1369c38807b4e53f2449bc, 14915582, 400.0, 2023-04-02 23:06:54, staking, bond
14915404-3, 15DwpXtJNUoRcUveqS9HmP65nswh5Nbf9Cbj2jsz6XBk4p9e, 0x7bf1dc7b9e72642d137a3f4c83cbb494401840933e9a043ee8dbd163b069fe49, 14915404, 361.26426, 2023-04-02 22:49:06, staking, bond
14915072-2, 1GUp5vzsED4qA3r2J6qQPeN3dZW4DYorYnvHRMpcWTp9Har, 0x7b11c930f1b96dfd661756d569da1da761e7ebe3d979edc25b1e659418810ce0, 14915072, 1000.0, 2023-04-02 22:15:54, staking, bond
