14934239-2, 16F6YQUJqyNCxmunD9KU8vyxGHPCEoRqosCMNRBPszGhCwNq, 0xa3277ac297f2a26e188801474006160288f5652acbb30729bb4cd8ba26e73214, 14934239, 15.92184, 2023-04-04 06:13:00, balances, transfer_keep_alive
14934234-2, 129fZmvLJcVXJa36p9jmvJWgEFpfvgJXNVDB91fB6FcbTEwb, 0x936b1bf6f5b445a2064bfc7afc8485bd34a05765b1be549cd81233380a1a39f2, 14934234, 5079.98, 2023-04-04 06:12:30, balances, transfer_keep_alive
14934230-2, 1429tQ2RK8xCwiVYYw7YVUFGX2rbASQN2maMExay7x18neoZ, 0x4c2dd4b3a7e568f51a4ba10eae6944a69f93be81f4594eef464a81283a6386c7, 14934230, 150.0, 2023-04-04 06:12:06, balances, transfer_keep_alive
14934229-2, 163egH5dubAAwbYQQ6wH3jhe8J5YV3wAiEExAvu67BAXmxyx, 0x728131255748e8d3f99030b524624922bd61da20701770c7cd008e8eb418ea6f, 14934229, 2.0, 2023-04-04 06:12:00, balances, transfer_keep_alive
14934228-2, 16hp43x8DUZtU8L3cJy9Z8JMwTzuu8ZZRWqDZnpMhp464oEd, 0xf1e2fd6ad70e3e1e7ee952f0c54190354b1d76240488d3be8c515d6c73a6b667, 14934228, 499.52, 2023-04-04 06:11:54, balances, transfer_keep_alive
14934224-2, 1CUKKQhuqcbqXSY4QhWZxFct5uTKbWVCMKMUBHqWyc8ds1c, 0xb77f977eedc8a387d9af016823d7bb5069227afdfd219c6e791bfaaf14084d18, 14934224, 550.0, 2023-04-04 06:11:30, balances, transfer_keep_alive
14934215-3, 1389J5RhJ3cjDts22jFweQx3RPwcJ9fAQcYxbCYFhN2xqbiL, 0x9f330644c22bbf48ed39554684f275a2837df821aa12f4f4d56220f1cca2d4db, 14934215, 270.371, 2023-04-04 06:10:36, balances, transfer_keep_alive
14934215-2, 12P4Y3hV6r2D7A7saeC9JVfjVpxA757AeDJrGT7u9T6t6KwR, 0x1e2ea2d158e8734c332fd0f67a14e4d8d5575bb02dd7e287319d2e142a7bdc83, 14934215, 38.70659, 2023-04-04 06:10:36, balances, transfer_keep_alive
14934213-2, 1BAitQj5xequxDyKaB1tqQ3D1k3vdSUM3geGfbSDnv87pX1, 0xb028ce44ce2d46b931a755683c3a6342fa0e3227e9a1edb0aa69960c8e617dcd, 14934213, 11.34447, 2023-04-04 06:10:24, balances, transfer_keep_alive
14934203-2, 1tEKJ7EWUvhvFJNzpS2Q4gcp8ir7ucF9v2ncP6y7EFALnBx, 0x67baf8d60ce45950ec7c9285cde03e76f2155bc5715e5f010b5d7d798bbeaf4c, 14934203, 3.97316, 2023-04-04 06:09:24, balances, transfer_keep_alive
14934190-2, 144HGaYrSdK3543bi26vT6Rd8Bg7pLPMipJNr2WLc3NuHgD2, 0x2c3b133efd23acfa0580cd83b8239e0dcf6a74c44b75e516559244490034e883, 14934190, 271.411, 2023-04-04 06:08:06, balances, transfer_keep_alive
14934189-2, 16hZXMT845t2wpCcDCXmYz4pM1GYCHa7bsd8zkkgZn9JisXZ, 0x2092a5d6aaa4f65485416b34305ff87b29fb363139fa008af37ab7736a1ba3ef, 14934189, 10.0339, 2023-04-04 06:08:00, balances, transfer_keep_alive
14934185-2, 12nr7GiDrYHzAYT9L8HdeXnMfWcBuYfAXpgfzf3upujeCciz, 0x24ebe1a243aadb68ea8e1fd4c26e1826344056209f957ca2f1639fd9d76fa4a7, 14934185, 1.55195, 2023-04-04 06:07:36, balances, transfer_keep_alive
14934164-2, 1PHveNDvysYdk7ksdyAn9aXDiSqRBGVPZc8oyfGtF2o4GHu, 0x0ee0015b1b948328575c54558cc430fc14b707e2d68c6c5fd9aa782fc94a9b85, 14934164, 270.39066, 2023-04-04 06:05:30, balances, transfer_keep_alive
14934151-3, 15u2N1pqWr56teREjQTP5M3tk1SPQjEoUAV6jFfcQCoVy3S5, 0xbc03481712d359eedcac1f9011b5942a3de827993a740c0abc563f2478e452ef, 14934151, 17.28225, 2023-04-04 06:04:12, balances, transfer_keep_alive
